Taxon	Major_Clade	Minor_Clade	Percentage_in_Family	Percentage_in_Dataset
Cephaloidophora	Alveolata	Apicomplexa	1.92	3.18
Digyalum	Alveolata	Apicomplexa	1.92	3.18
Margolisiella	Alveolata	Apicomplexa	1.92	3.18
Merocystis	Alveolata	Apicomplexa	1.92	3.18
Monocystis	Alveolata	Apicomplexa	1.92	3.18
Ophryocystis	Alveolata	Apicomplexa	1.92	3.18
Siedleckia	Alveolata	Apicomplexa	1.92	3.18
Thiriotia	Alveolata	Apicomplexa	1.92	3.18
Paramecium	Alveolata	Ciliophora	4.32	6.17
Blepharisma	Alveolata	Ciliophora	4.32	6.17
Blepharisma	Alveolata	Ciliophora	4.32	6.17
Bursaria	Alveolata	Ciliophora	4.32	6.17
Chilodonella	Alveolata	Ciliophora	4.32	6.17
Colpoda	Alveolata	Ciliophora	4.32	6.17
Colpoda	Alveolata	Ciliophora	4.32	6.17
Colpoda	Alveolata	Ciliophora	4.32	6.17
Didinium	Alveolata	Ciliophora	4.32	6.17
Entodinium	Alveolata	Ciliophora	4.32	6.17
Entodinium	Alveolata	Ciliophora	4.32	6.17
Isotricha	Alveolata	Ciliophora	4.32	6.17
Mesodinium	Alveolata	Ciliophora	4.32	6.17
Metopus	Alveolata	Ciliophora	4.32	6.17
Ophryoscolex	Alveolata	Ciliophora	4.32	6.17
Paramecium	Alveolata	Ciliophora	4.32	6.17
Polyplastron	Alveolata	Ciliophora	4.32	6.17
Stentor	Alveolata	Ciliophora	4.32	6.17
Piridium	Alveolata	Colpodellida	0.24	0.28
Alexandrium	Alveolata	Dinophyceae	0.72	6.14
Durinskia	Alveolata	Dinophyceae	0.72	6.14
Symbiodinium	Alveolata	Dinophyceae	0.72	6.14
Cavenderia	Amoebozoa		7.19	5.63
Entamoeba	Amoebozoa		7.19	5.63
Entamoeba	Amoebozoa		7.19	5.63
Pelomyxa	Amoebozoa		7.19	5.63
Tieghemostelium	Amoebozoa		7.19	5.63
Cavenderia	Amoebozoa		7.19	5.63
Cavenderia	Amoebozoa		7.19	5.63
Cavostelium	Amoebozoa		7.19	5.63
Cochliopodium	Amoebozoa		7.19	5.63
Dictyostelium	Amoebozoa		7.19	5.63
Dictyostelium	Amoebozoa		7.19	5.63
Didymium	Amoebozoa		7.19	5.63
Fuligo	Amoebozoa		7.19	5.63
Heleopera	Amoebozoa		7.19	5.63
Heterostelium	Amoebozoa		7.19	5.63
Mayorella	Amoebozoa		7.19	5.63
Mayorella	Amoebozoa		7.19	5.63
Microchlamys	Amoebozoa		7.19	5.63
Microcorycia	Amoebozoa		7.19	5.63
Parakanabo	Amoebozoa		7.19	5.63
Parakanabo	Amoebozoa		7.19	5.63
